date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:47:43	3994/3994	---M--	200	added ('OK')	image/gif	etag:%22f9a-3577834f07d80%22	https://www.cis.rit.edu/htbooks/nmr/spectra/mek-016.gif	D:/My%20Web%20Sites/The%20Basics%20of%20NMR/www.cis.rit.edu/htbooks/nmr/spectra/mek-016.gif	(from https://www.cis.rit.edu/htbooks/nmr/chap-8/h9-4.htm)
10:47:43	3634/3634	---M--	200	added ('OK')	image/gif	etag:%22e32-3577834f07d80%22	https://www.cis.rit.edu/htbooks/nmr/spectra/mek-080.gif	D:/My%20Web%20Sites/The%20Basics%20of%20NMR/www.cis.rit.edu/htbooks/nmr/spectra/mek-080.gif	(from https://www.cis.rit.edu/htbooks/nmr/chap-8/h9-5.htm)
10:47:43	3232/3232	---M--	200	added ('OK')	image/gif	etag:%22ca0-35778352d8680%22	https://www.cis.rit.edu/htbooks/nmr/spectra/mek-800.gif	D:/My%20Web%20Sites/The%20Basics%20of%20NMR/www.cis.rit.edu/htbooks/nmr/spectra/mek-800.gif	(from https://www.cis.rit.edu/htbooks/nmr/chap-8/h9-6.htm)
10:47:44	10696/10696	---M--	200	added ('OK')	image/gif	etag:%2229c8-3577b937a6d40%22	https://www.cis.rit.edu/htbooks/nmr/chap-8/images/vt-unit.gif	D:/My%20Web%20Sites/The%20Basics%20of%20NMR/www.cis.rit.edu/htbooks/nmr/chap-8/images/vt-unit.gif	(from https://www.cis.rit.edu/htbooks/nmr/chap-8/h10-1.htm)
10:47:44	221/221	---M--	200	added ('OK')	text/html	etag:%22dd-3577b94e8a340%22	https://www.cis.rit.edu/htbooks/nmr/chap-8/h11-3.htm	D:/My%20Web%20Sites/The%20Basics%20of%20NMR/www.cis.rit.edu/htbooks/nmr/chap-8/h11-3.html	(from https://www.cis.rit.edu/htbooks/nmr/chap-8/h11-1.htm)
10:47:44	960/960	---M--	200	added ('OK')	image/gif	etag:%223c0-3577758d1c840%22	https://www.cis.rit.edu/htbooks/nmr/images/yes.gif	D:/My%20Web%20Sites/The%20Basics%20of%20NMR/www.cis.rit.edu/htbooks/nmr/images/yes.gif	(from https://www.cis.rit.edu/htbooks/nmr/chap-8/h11-1.htm)
10:47:44	332/332	---M--	200	added ('OK')	text/html	etag:%2214c-3577b946e9140%22	https://www.cis.rit.edu/htbooks/nmr/chap-8/h11-2.htm	D:/My%20Web%20Sites/The%20Basics%20of%20NMR/www.cis.rit.edu/htbooks/nmr/chap-8/h11-2.html	(from https://www.cis.rit.edu/htbooks/nmr/chap-8/h11-1.htm)
10:47:45	919/919	---M--	200	added ('OK')	image/gif	etag:%22397-3577758d1c840%22	https://www.cis.rit.edu/htbooks/nmr/images/no.gif	D:/My%20Web%20Sites/The%20Basics%20of%20NMR/www.cis.rit.edu/htbooks/nmr/images/no.gif	(from https://www.cis.rit.edu/htbooks/nmr/chap-8/h11-1.htm)
10:47:45	117008/117008	---M--	200	added ('OK')	image/gif	etag:%221c910-3577b92864940%22	https://www.cis.rit.edu/htbooks/nmr/chap-8/images/fill-wa.gif	D:/My%20Web%20Sites/The%20Basics%20of%20NMR/www.cis.rit.edu/htbooks/nmr/chap-8/images/fill-wa.gif	(from https://www.cis.rit.edu/htbooks/nmr/chap-8/h12-1.htm)
10:47:46	115182/115182	---M--	200	added ('OK')	image/gif	etag:%221c1ee-3577b92494040%22	https://www.cis.rit.edu/htbooks/nmr/chap-8/images/fill-he.gif	D:/My%20Web%20Sites/The%20Basics%20of%20NMR/www.cis.rit.edu/htbooks/nmr/chap-8/images/fill-he.gif	(from https://www.cis.rit.edu/htbooks/nmr/chap-8/h12-2.htm)
